timestamp,value,label
1578873600,190.43,
1578873660,228.62,
1578873720,243.68,
1578873780,231.68,
1578873840,256.27,
1578873900,271.17,
1578873960,234.02,
1578874020,225.98,
1578874080,248.77,
1578874140,247.63,
1578874200,246.38,
1578874260,236.13,
1578874320,245.95,
1578874380,215.83,
1578874440,219.87,
1578874500,237.8,
1578874560,249.05,
1578874620,226.52,
1578874680,228.93,
1578874740,239.7,
1578874800,238.58,
1578874860,212.92,
1578874920,252.98,
1578874980,244.9,
1578875040,253.65,
1578875100,237.88,
1578875160,243.75,
1578875220,239.58,
1578875280,224.45,
1578875340,248.78,
1578875400,240.22,
1578875460,220.62,
1578875520,221.23,
1578875580,231.6,
1578875640,231.1,
1578875700,210.83,
1578875760,240.12,
1578875820,245.23,
1578875880,211.65,
1578875940,218.1,
1578876000,219.57,
1578876060,235.7,
1578876120,221.22,
1578876180,250.45,
1578876240,232.82,
1578876300,215.93,
1578876360,202.3,
1578876420,208.93,
1578876480,209.65,
1578876540,191.22,
1578876600,219.27,
1578876660,250.98,
1578876720,246.53,
1578876780,239.7,
1578876840,247.05,
1578876900,234.07,
1578876960,214.4,
1578877020,224.95,
1578877080,220.45,
1578877140,196.12,
1578877200,187.28,
1578877260,192.88,
1578877320,227.38,
1578877380,199.55,
1578877440,196.02,
1578877500,200.8,
1578877560,172.2,
1578877620,203.03,
1578877680,198.3,
1578877740,188.6,
1578877800,201.88,
1578877860,196.62,
1578877920,191.38,
1578877980,173.37,
1578878040,195.97,
1578878100,197.68,
1578878160,204.55,
1578878220,201.08,
1578878280,193.83,
1578878340,209.42,
1578878400,186.63,
1578878460,231.97,
1578878520,218.32,
1578878580,202.13,
1578878640,197.8,
1578878700,198.47,
1578878760,201.72,
1578878820,174.85,
1578878880,212.95,
1578878940,211.37,
1578879000,208.98,
1578879060,198.17,
1578879120,176.72,
1578879180,175.47,
1578879240,167.28,
1578879300,197.67,
1578879360,183.73,
1578879420,166.43,
1578879480,192.17,
1578879540,191.67,
1578879600,193.25,
1578879660,171.4,
1578879720,212.7,
1578879780,211.58,
1578879840,200.75,0
1578879900,193.67,0
1578879960,181.82,0
1578880020,196.08,0
1578880080,197.42,0
1578880140,225.43,0
1578880200,203.97,0
1578880260,170.62,0
1578880320,195.65,0
1578880380,174.08,0
1578880440,175.75,0
1578880500,164.72,0
1578880560,200.95,0
1578880620,178.05,0
1578880680,180.55,0
1578880740,181.07,0
1578880800,185.03,0
1578880860,195.98,0
1578880920,174.9,0
1578880980,191.57,0
1578881040,188.42,0
1578881100,175.15,0
1578881160,177.58,0
1578881220,175.02,0
1578881280,173.5,0
1578881340,162.43,0
1578881400,179.15,0
1578881460,184.12,0
1578881520,147.78,0
1578881580,170.87,1
1578881640,176.07,1
1578881700,174.65,1
1578881760,160.62,1
1578881820,298.73,1
1578881880,340.48,1
1578881940,259.12,1
1578882000,196.52,1
1578882060,176.1,1
1578882120,168.93,1
1578882180,164.43,1
1578882240,189.07,0
1578882300,200.17,0
1578882360,179.27,0
1578882420,178.87,0
1578882480,171.88,0
1578882540,173.4,0
1578882600,167.77,0
1578882660,174.22,0
1578882720,177.97,0
1578882780,167.77,0
1578882840,183.28,0
1578882900,168.97,0
1578882960,150.32,0
1578883020,145.3,0
1578883080,159.55,0
1578883140,162.13,0
1578883200,174.38,0
1578883260,174.97,0
1578883320,162.68,0
1578883380,170.53,0
1578883440,152.52,0
1578883500,177.05,0
1578883560,170.97,0
1578883620,165.87,0
1578883680,164.0,0
1578883740,149.27,
1578883800,168.82,
1578883860,148.68,
1578883920,169.55,
1578883980,190.28,
1578884040,158.43,
1578884100,178.62,
1578884160,146.27,
1578884220,157.82,
1578884280,149.75,
1578884340,179.13,
1578884400,193.52,
1578884460,168.55,
1578884520,173.45,
1578884580,145.88,
1578884640,141.32,
1578884700,136.72,
1578884760,157.83,
1578884820,157.45,
1578884880,162.78,
1578884940,157.87,
1578885000,153.23,
1578885060,149.23,
1578885120,136.68,
1578885180,177.4,
1578885240,166.17,
1578885300,169.95,
1578885360,168.18,
1578885420,155.53,
1578885480,166.32,
1578885540,164.37,
1578885600,170.13,
1578885660,174.1,
1578885720,161.13,
1578885780,173.27,
1578885840,151.43,
1578885900,154.98,
1578885960,143.6,
1578886020,161.35,
1578886080,177.17,
1578886140,180.67,
1578886200,166.35,
1578886260,148.15,
1578886320,147.93,
1578886380,130.85,
1578886440,155.37,
1578886500,148.6,
1578886560,146.23,
1578886620,154.88,
1578886680,150.82,
1578886740,154.83,
1578886800,145.15,
1578886860,180.53,
1578886920,173.93,
1578886980,158.53,
1578887040,177.52,
1578887100,148.02,
1578887160,138.02,
1578887220,133.9,
1578887280,170.33,
1578887340,166.63,
1578887400,154.42,
1578887460,169.5,
1578887520,150.4,
1578887580,171.95,
1578887640,136.0,
1578887700,173.67,
1578887760,172.05,
1578887820,162.0,
1578887880,176.08,
1578887940,161.73,
1578888000,160.65,
1578888060,155.82,
1578888120,158.7,
1578888180,148.6,
1578888240,138.98,
1578888300,163.42,
1578888360,131.2,
1578888420,149.0,
1578888480,140.28,
1578888540,164.12,
1578888600,169.15,
1578888660,152.98,
1578888720,170.92,
1578888780,169.7,
1578888840,197.7,
1578888900,183.52,
1578888960,169.05,
1578889020,155.4,
1578889080,141.97,
1578889140,209.87,
1578889200,175.55,
1578889260,197.68,
1578889320,162.72,
1578889380,170.02,
1578889440,169.6,
1578889500,160.3,
1578889560,187.78,
1578889620,144.33,
1578889680,164.6,
1578889740,144.45,
1578889800,163.87,
1578889860,147.77,
1578889920,155.37,
1578889980,161.83,
1578890040,154.75,
1578890100,153.62,
1578890160,143.43,
1578890220,162.52,
1578890280,159.17,
1578890340,148.23,
1578890400,171.18,
1578890460,161.02,
1578890520,176.32,
1578890580,146.02,
1578890640,175.08,
1578890700,165.95,
1578890760,155.05,
1578890820,163.48,
1578890880,158.78,
1578890940,169.2,
1578891000,150.83,
1578891060,168.93,
1578891120,164.53,
1578891180,169.65,
1578891240,178.22,
1578891300,183.03,
1578891360,185.27,
1578891420,142.12,
1578891480,167.67,
1578891540,161.83,
1578891600,146.0,
1578891660,159.87,
1578891720,145.27,
1578891780,176.63,
1578891840,160.15,
1578891900,183.6,
1578891960,192.87,
1578892020,173.78,
1578892080,194.62,
1578892140,176.32,
1578892200,192.33,
1578892260,146.73,
1578892320,172.03,
1578892380,156.58,
1578892440,158.77,
1578892500,173.62,
1578892560,159.4,
1578892620,169.38,
1578892680,149.93,
1578892740,194.53,
1578892800,160.08,
1578892860,167.98,
1578892920,194.68,
1578892980,168.12,
1578893040,181.22,
1578893100,175.07,
1578893160,203.05,
1578893220,190.67,
1578893280,159.1,
1578893340,172.18,
1578893400,164.58,
1578893460,160.8,
1578893520,143.05,
1578893580,183.77,
1578893640,184.17,
1578893700,182.87,
1578893760,172.9,
1578893820,175.48,
1578893880,198.22,
1578893940,167.73,
1578894000,181.23,
1578894060,173.07,
1578894120,198.62,
1578894180,173.65,
1578894240,170.32,
1578894300,199.93,
1578894360,165.97,
1578894420,187.68,
1578894480,192.75,
1578894540,186.2,
1578894600,172.07,
1578894660,162.82,
1578894720,166.88,
1578894780,164.27,
1578894840,185.5,
1578894900,178.2,
1578894960,184.95,
1578895020,174.52,
1578895080,175.27,
1578895140,174.4,
1578895200,136.55,
1578895260,163.28,
1578895320,169.63,
1578895380,189.38,
1578895440,179.37,
1578895500,169.58,
1578895560,175.35,
1578895620,148.82,
1578895680,189.78,
1578895740,191.88,
1578895800,193.62,
1578895860,182.37,
1578895920,174.1,
1578895980,205.1,
1578896040,182.07,
1578896100,204.65,
1578896160,200.83,
1578896220,191.1,
1578896280,202.37,
1578896340,211.22,
1578896400,226.85,
1578896460,187.77,
1578896520,224.43,
1578896580,237.87,
1578896640,226.57,
1578896700,202.17,
1578896760,210.67,
1578896820,212.53,
1578896880,164.73,
1578896940,202.83,
1578897000,212.72,
1578897060,221.97,
1578897120,199.83,
1578897180,187.82,
1578897240,205.48,
1578897300,173.83,
1578897360,197.62,
1578897420,190.33,
1578897480,221.98,
1578897540,213.95,
1578897600,213.42,
1578897660,238.58,
1578897720,193.47,
1578897780,218.0,
1578897840,219.68,
1578897900,221.3,
1578897960,212.12,
1578898020,210.75,
1578898080,209.5,
1578898140,175.87,
1578898200,210.12,
1578898260,221.1,
1578898320,217.3,
1578898380,213.42,
1578898440,218.93,
1578898500,218.62,
1578898560,186.47,
1578898620,218.73,
1578898680,241.97,
1578898740,241.57,
1578898800,212.65,
1578898860,198.52,
1578898920,206.7,
1578898980,177.45,
1578899040,208.33,
1578899100,204.78,
1578899160,206.83,
1578899220,196.03,
1578899280,201.62,
1578899340,218.33,
1578899400,184.62,
1578899460,224.55,
1578899520,199.17,
1578899580,227.1,
1578899640,237.68,
1578899700,219.48,
1578899760,225.6,
1578899820,178.57,
1578899880,227.9,
1578899940,255.47,
1578900000,264.08,
1578900060,240.12,
1578900120,230.2,
1578900180,244.12,
1578900240,218.88,
1578900300,259.67,
1578900360,245.17,
1578900420,243.82,
1578900480,239.53,
1578900540,232.57,
1578900600,260.73,
1578900660,211.47,
1578900720,241.53,
1578900780,245.28,
1578900840,252.73,
1578900900,263.38,
1578900960,237.35,
1578901020,278.85,
1578901080,222.2,
1578901140,248.12,
1578901200,241.45,
1578901260,289.48,
1578901320,299.58,
1578901380,283.18,
1578901440,286.93,
1578901500,260.1,
1578901560,286.83,
1578901620,284.38,
1578901680,284.47,
1578901740,278.17,
1578901800,301.72,
1578901860,322.12,
1578901920,278.78,
1578901980,308.53,
1578902040,306.18,
1578902100,317.95,
1578902160,287.83,
1578902220,287.02,
1578902280,291.95,
1578902340,246.92,
1578902400,267.68,
1578902460,258.85,
1578902520,257.93,
1578902580,256.13,
1578902640,255.27,
1578902700,260.9,
1578902760,223.97,
1578902820,266.38,
1578902880,280.13,
1578902940,285.87,
1578903000,261.17,
1578903060,231.73,
1578903120,245.43,
1578903180,233.92,
1578903240,310.17,
1578903300,265.78,
1578903360,279.28,
1578903420,266.58,
1578903480,261.12,
1578903540,291.07,
1578903600,249.57,
1578903660,305.62,
1578903720,296.35,
1578903780,336.78,
1578903840,300.7,
1578903900,304.38,
1578903960,290.85,
1578904020,251.0,
1578904080,308.95,
1578904140,302.2,
1578904200,293.15,
1578904260,283.5,
1578904320,278.52,
1578904380,271.3,
1578904440,232.12,
1578904500,295.9,
1578904560,325.05,
1578904620,311.0,
1578904680,342.37,
1578904740,338.52,
1578904800,336.25,
1578904860,293.45,
1578904920,344.73,
1578904980,365.68,
1578905040,350.35,
1578905100,329.1,
1578905160,318.95,
1578905220,357.42,
1578905280,290.22,
1578905340,334.75,
1578905400,343.62,
1578905460,336.58,
1578905520,329.47,
1578905580,325.78,
1578905640,340.53,
1578905700,295.62,
1578905760,365.95,
1578905820,352.87,
1578905880,380.47,
1578905940,387.68,
1578906000,354.1,
1578906060,381.93,
1578906120,288.15,
1578906180,362.23,
1578906240,358.8,
1578906300,356.38,
1578906360,345.03,
1578906420,325.32,
1578906480,346.25,
1578906540,292.17,
1578906600,363.23,
1578906660,332.73,
1578906720,343.22,
1578906780,335.03,
1578906840,318.83,
1578906900,337.65,
1578906960,275.73,
1578907020,347.82,
1578907080,357.6,
1578907140,381.0,
1578907200,348.38,
1578907260,312.03,
1578907320,384.07,
1578907380,326.88,
1578907440,410.77,
1578907500,409.48,
1578907560,396.45,
1578907620,361.67,
1578907680,359.05,
1578907740,361.85,
1578907800,280.2,
1578907860,313.58,
1578907920,323.32,
1578907980,318.27,
1578908040,294.38,
1578908100,305.7,
1578908160,348.55,
1578908220,288.93,
1578908280,383.17,
1578908340,380.8,
1578908400,376.17,
1578908460,355.92,
1578908520,343.55,
1578908580,380.88,
1578908640,295.7,
1578908700,367.03,
1578908760,366.32,
1578908820,324.7,
1578908880,327.12,
1578908940,340.32,
1578909000,359.77,
1578909060,296.42,
1578909120,360.0,
1578909180,333.22,
1578909240,333.83,
1578909300,303.68,
1578909360,316.63,
1578909420,343.5,
1578909480,278.8,
1578909540,321.12,
1578909600,337.58,
1578909660,343.32,
1578909720,369.83,
1578909780,350.75,
1578909840,372.92,
1578909900,324.27,
1578909960,359.92,
1578910020,333.47,
1578910080,319.13,
1578910140,312.08,
1578910200,328.05,
1578910260,345.77,
1578910320,273.7,
1578910380,369.85,
1578910440,356.32,
1578910500,355.57,
